               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10613,            0.028532,                   0,           0.0029412,             0.24194,           0.0037573,             0.00123,            0.066656,            0.020881,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.086753,            0.026071,                   0,           0.0034081,             0.85484,            0.027494,            0.006724,            0.054023,            0.016649,                   0,            0.068431,           0.0034307,           0.0034307
                   2,            0.069157,            0.024287,                   0,             0.16145,             0.31679,             0.13293,            0.033421,            0.046356,            0.012889,                   0,             0.05209,           0.0050901,           0.0050901
                   3,            0.056564,            0.021517,                   0,             0.21179,             0.29032,             0.19207,            0.065765,            0.035957,            0.013309,                   0,            0.035678,           0.0066783,           0.0066783
                   4,            0.056689,            0.021151,                   0,             0.16333,             0.22581,             0.10722,            0.035448,             0.03531,             0.01315,                   0,            0.019195,           0.0081951,           0.0081951
                   5,            0.054046,            0.019531,                   0,             0.17334,             0.12903,            0.095552,            0.034519,            0.044997,           0.0096384,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.056206,            0.018737,                   0,             0.18018,             0.27419,             0.11652,             0.03555,            0.037674,            0.010001,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.051918,             0.02132,                   0,             0.10434,             0.24194,            0.050737,            0.019676,             0.04026,           0.0092246,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.050798,            0.019162,                   0,             0.10719,             0.24194,            0.084109,            0.029585,            0.032697,           0.0099981,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050097,            0.019871,                   0,             0.19018,             0.32258,             0.20811,             0.07902,            0.031748,           0.0095526,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.047998,            0.018734,                   0,             0.22778,             0.40323,             0.18702,             0.05948,            0.031121,           0.0093699,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042241,            0.018146,                   0,             0.18086,             0.37097,             0.15203,            0.048964,            0.032883,            0.009729,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.043671,            0.017764,                   0,             0.36252,             0.35484,             0.28677,            0.088045,            0.036735,           0.0081144,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040174,            0.020529,                   0,             0.56862,             0.22581,             0.27338,             0.11467,            0.031587,           0.0099544,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.039432,            0.017559,                   0,             0.29346,             0.30645,             0.29261,             0.11486,            0.033244,           0.0089741,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.040588,            0.017638,                   0,             0.22623,             0.34901,              0.1165,            0.030758,            0.038769,           0.0089624,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04126,            0.018066,                   0,             0.22365,             0.32258,             0.18222,            0.048433,            0.034495,           0.0093203,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041767,            0.017877,                   0,             0.41378,             0.56452,             0.37004,             0.14307,            0.027586,           0.0085828,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03626,            0.016822,                   0,             0.42993,             0.59677,             0.37306,             0.15331,             0.03054,            0.008598,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038293,            0.016976,                   0,              0.4205,             0.51613,             0.41204,             0.18346,            0.028661,           0.0090833,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.039426,             0.01638,                   0,             0.52306,             0.64516,             0.54049,             0.23048,            0.026846,           0.0083169,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.037672,            0.014934,                   0,             0.56389,             0.59677,             0.53308,             0.21402,            0.029239,           0.0083227,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.03822,             0.01582,                   0,             0.41748,              0.6129,             0.49257,              0.1728,            0.030877,           0.0087224,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03639,            0.015928,                   0,             0.52475,              0.6129,             0.55333,             0.23245,            0.026934,           0.0084103,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.037551,            0.016191,                   0,              0.5497,             0.53226,             0.55147,             0.21746,            0.029383,           0.0086346,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.039276,            0.016343,                   0,              0.5954,             0.47478,              0.5528,             0.26741,            0.027425,           0.0088825,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.034853,            0.015442,                   0,             0.74128,             0.43548,              0.5549,             0.26226,            0.024825,           0.0087606,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034892,            0.014775,                   0,             0.52854,             0.57865,             0.52805,             0.22142,            0.027944,           0.0091399,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.033964,            0.015071,                   0,             0.54213,             0.56452,             0.56604,             0.24049,            0.026863,            0.008708,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.031099,            0.014541,                   0,             0.61481,             0.62903,             0.58797,             0.23793,            0.026498,           0.0084447,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.034493,            0.014567,                   0,             0.64788,             0.53421,             0.56867,             0.23736,            0.026937,           0.0081943,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.032019,            0.014727,                   0,             0.69574,             0.54839,             0.60611,             0.28315,            0.024711,            0.008123,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.03433,            0.014615,                   0,             0.63211,             0.43548,              0.5675,             0.26046,            0.024799,           0.0083534,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.033188,            0.014689,                   0,             0.66864,             0.52081,             0.61852,             0.29602,            0.022798,           0.0080788,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.030223,            0.014391,                   0,             0.72411,             0.50809,             0.61746,              0.3062,            0.023821,           0.0079213,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.030947,            0.014436,                   0,             0.56574,             0.58065,             0.60029,             0.28887,            0.024522,           0.0084281,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.031132,            0.014078,                   0,             0.62555,             0.56587,             0.63126,              0.3067,            0.022697,           0.0083124,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.030454,            0.013895,                   0,             0.60375,             0.64516,             0.63535,             0.33327,            0.022523,           0.0082329,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.027845,            0.013004,                   0,             0.70559,             0.53226,             0.63291,             0.35534,            0.021941,           0.0080266,                   0,            0.002674,            0.002674,            0.002674
                  39,              0.0303,            0.014378,                   0,             0.70228,             0.53264,             0.62274,               0.338,            0.022895,           0.0081375,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.030874,             0.01405,                   0,             0.76982,             0.58065,             0.66309,              0.3291,            0.023474,           0.0080814,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030055,             0.01468,                   0,             0.85199,             0.59677,             0.70155,             0.35708,            0.021827,           0.0080137,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.029788,             0.01424,                   0,             0.88484,             0.59677,             0.71395,             0.35902,             0.02193,           0.0079728,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026763,             0.01337,                   0,             0.86022,              0.5956,             0.71192,             0.35127,            0.021756,           0.0081214,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025632,            0.013245,                   0,             0.78143,              0.5767,             0.67418,             0.34725,            0.021681,           0.0082652,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031107,            0.014474,                   0,             0.77577,             0.58065,             0.70089,             0.35139,            0.021739,           0.0080464,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026784,             0.01346,                   0,             0.83504,              0.5716,             0.71888,             0.38002,            0.022058,           0.0077551,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.02983,            0.013572,                   0,              0.9225,             0.57604,             0.73377,             0.39032,            0.021661,           0.0075152,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027523,            0.013801,                   0,             0.89845,              0.6129,             0.76246,             0.38739,            0.021651,           0.0075598,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.026058,            0.012848,                   0,             0.89573,             0.58065,             0.74368,             0.38498,            0.021522,           0.0076696,                   0,            0.000496,            0.000496,            0.000496
